id;creation_date;title;appuser_id
1;2019-10-07T22:48:10;Home Loan Account AGP;1
2;2019-10-07T10:42:07;bypass e-services;2
3;2019-10-08T00:12:26;monitor Adaptive;3
4;2019-10-08T07:40:06;B2C systematic;4
5;2019-10-08T03:12:30;Persevering Gorgeous Steel Salad Associate;5
6;2019-10-08T00:03:12;disintermediate;6
7;2019-10-07T18:00:30;lavender;7
8;2019-10-07T11:31:16;open-source Generic methodologies;8
9;2019-10-07T13:13:16;Communications Underpass Personal Loan Account;9
10;2019-10-08T06:18:40;Associate Intuitive Creative;10
