id;creation_date;title;image;image_content_type
1;2019-10-08T01:19:48;Directives application Home Loan Account;../fake-data/blob/hipster.png;image/png
2;2019-10-08T06:34:28;Computer Practical Fresh Pants;../fake-data/blob/hipster.png;image/png
3;2019-10-07T19:53:32;alarm;../fake-data/blob/hipster.png;image/png
4;2019-10-08T09:49:29;Producer;../fake-data/blob/hipster.png;image/png
5;2019-10-07T14:20:26;red Chips Soap;../fake-data/blob/hipster.png;image/png
6;2019-10-08T03:01:02;Albania web-readiness;../fake-data/blob/hipster.png;image/png
7;2019-10-08T03:19:46;Investment Account Steel;../fake-data/blob/hipster.png;image/png
8;2019-10-08T03:18:27;24/7 Common bluetooth;../fake-data/blob/hipster.png;image/png
9;2019-10-08T05:31:36;Cambridgeshire Mississippi;../fake-data/blob/hipster.png;image/png
10;2019-10-08T09:12:15;Credit Card Account Table Small Frozen Sausages;../fake-data/blob/hipster.png;image/png
