id;creation_date;community_name;community_description;image;image_content_type;is_active;appuser_id
1;2019-10-07T22:25:41;Nepalese Rupee vortals Centralized;Licensed Clothing Engineer;../fake-data/blob/hipster.png;image/png;false;1
2;2019-10-07T20:09:16;granular;solid state;../fake-data/blob/hipster.png;image/png;true;2
3;2019-10-08T07:02:10;Quality Mount Computer;Accountability input;../fake-data/blob/hipster.png;image/png;true;3
4;2019-10-07T14:57:45;payment Philippine Peso parsing;Central;../fake-data/blob/hipster.png;image/png;true;4
5;2019-10-08T05:00:39;Associate Branding Small Metal Soap;Officer New Hampshire Unions;../fake-data/blob/hipster.png;image/png;false;5
6;2019-10-08T09:30:18;Leone;azure;../fake-data/blob/hipster.png;image/png;false;6
7;2019-10-07T11:00:52;Data Shoal;Refined Granite Gloves South Georgia and the South Sandwich Islands deposit;../fake-data/blob/hipster.png;image/png;true;7
8;2019-10-07T20:00:34;Organic Granite;SMS;../fake-data/blob/hipster.png;image/png;true;8
9;2019-10-08T02:09:46;interface Awesome Plastic Bacon;Senegal withdrawal;../fake-data/blob/hipster.png;image/png;true;9
10;2019-10-07T19:17:55;ADP Personal Loan Account;web-readiness;../fake-data/blob/hipster.png;image/png;false;10
