id;creation_date;notification_date;notification_reason;notification_text;is_delivered;appuser_id
1;2019-10-08T03:33:03;2019-10-07T21:10:06;UNFOLLOWING;multi-byte Producer;false;1
2;2019-10-08T07:15:18;2019-10-08T01:23:29;UNAUTHORIZE_COMMUNITY_FOLLOWER;JSON Texas;false;2
3;2019-10-08T00:01:26;2019-10-07T18:00:13;FOLLOWING;Berkshire navigating;false;3
4;2019-10-08T03:10:35;2019-10-07T12:49:38;AUTHORIZE_COMMUNITY_FOLLOWER;Interactions;true;4
5;2019-10-08T08:07:43;2019-10-08T01:48:07;FOLLOWER_STATUS;Applications Missouri deposit;false;5
6;2019-10-08T08:07:07;2019-10-08T03:16:57;UNAUTHORIZE_COMMUNITY_FOLLOWER;Data neural Wooden;true;6
7;2019-10-07T22:27:13;2019-10-07T10:56:16;FOLLOWING;mindshare;true;7
8;2019-10-07T21:13:04;2019-10-08T01:53:52;FOLLOWER_STATUS;SDD bypassing;false;8
9;2019-10-07T17:29:47;2019-10-08T04:58:40;PROPOSAL_RELEASED;panel Sleek Intelligent;true;9
10;2019-10-07T20:22:06;2019-10-08T01:20:14;PROPOSAL_RELEASED;Pennsylvania dynamic bandwidth;false;10
