id;creation_date;proposal_name;proposal_type;proposal_role;release_date;is_open;is_accepted;is_paid
1;2019-10-07T10:59:33;Personal Loan Account e-business Steel;PRODUCTION;USER;2019-10-07T20:51:04;true;true;true
2;2019-10-08T07:33:57;AI;STUDY;MANAGER;2019-10-07T22:41:16;false;false;false
3;2019-10-07T11:37:26;overriding Bermudian Dollar (customarily known as Bermuda Dollar);DEVELOPMENT;USER;2019-10-07T23:17:55;true;false;true
4;2019-10-07T15:26:59;pink Synergized;PRODUCTION;USER;2019-10-07T13:15:09;true;true;false
5;2019-10-07T13:25:36;User-centric;STUDY;ORGANIZER;2019-10-07T12:29:57;false;true;false
6;2019-10-07T22:22:23;Fantastic withdrawal navigating;APPROVED;USER;2019-10-07T21:45:38;false;false;false
7;2019-10-07T15:17:31;Indiana withdrawal bluetooth;DEVELOPMENT;ORGANIZER;2019-10-07T15:16:56;false;false;true
8;2019-10-07T13:44:54;Human client-driven;APPROVED;ADMIN;2019-10-08T06:40:11;false;false;true
9;2019-10-07T19:33:12;Refined RAM 1080p;STUDY;MANAGER;2019-10-07T19:05:18;false;false;true
10;2019-10-07T13:09:15;systems Keyboard Clothing;APPROVED;ADMIN;2019-10-08T05:49:21;false;true;false
