id;creation_date;vquestion;vquestion_description;appuser_id;vtopic_id
1;2019-10-08T01:11:07;EXE SMS back-end;orange bypassing Graphic Interface;1;1
2;2019-10-08T09:46:14;Chicken;compelling;2;2
3;2019-10-07T10:54:20;invoice generating;Throughway;3;3
4;2019-10-08T02:47:26;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;4;4
5;2019-10-08T06:48:26;leading-edge Sleek Steel Hat;Versatile;5;5
6;2019-10-08T08:24:03;parse Cotton;task-force Cambridgeshire;6;6
7;2019-10-07T23:46:19;Refined;Electronics Kids;7;7
8;2019-10-07T19:51:32;intuitive streamline;digital Ferry;8;8
9;2019-10-08T08:55:27;Producer Generic Metal Gloves;communities Keyboard Rustic;9;9
10;2019-10-07T15:32:08;attitude-oriented;Saudi Riyal;10;10
