id;creation_date;vtopic_title;vtopic_description;appuser_id
1;2019-10-08T02:19:41;Aruban Guilder;reintermediate efficient Producer;1
2;2019-10-07T23:36:28;proactive New Hampshire;Usability;2
3;2019-10-08T06:06:46;El Salvador Colon US Dollar mint green;partnerships content;3
4;2019-10-07T14:35:49;Garden moratorium Consultant;Markets Cross-group;4
5;2019-10-08T00:44:12;Chair Producer Accounts;Switchable Kyat;5
6;2019-10-08T08:05:23;Cloned 1080p;Rubber connecting back-end;6
7;2019-10-07T17:18:37;Music;Expanded;7
8;2019-10-08T02:07:12;evolve plug-and-play;Lithuania;8
9;2019-10-08T02:59:15;morph Village Auto Loan Account;Sausages online;9
10;2019-10-07T20:31:48;Texas aggregate Cambridgeshire;Granite quantifying;10
